no,short_code,question_en,question_kh,description,unit_en,unit_kh,group_en,group_kh,validate_rule
113.a,Num_Corn_Thres_M,Corn thrashing machine,ម៉ាស៊ីនប្រលះពោត,# of corn threshing machines,Sets,គ្រឿង,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
114,Fami_Cas_Plant_M,Cassava planting machine,ម៉ាស៊ីនដាំដំឡូងមី,# of families with cassava planting machines,Families,គ្រូសារ,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
114.a,Num_Cas_Plant_M,Cassava planting machine,ម៉ាស៊ីនដាំដំឡូងមី,# of cassava planting machines,Sets,គ្រឿង,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
115,H_Loc_car_Num,"# of local made cars, combination of used vehicle spare parts",រថយន្តដែលកែឆ្នៃក្នុងស្រុក,"# families with local made cars, combination of used vehicle spare parts",Families,គ្រូសារ,Truck and Car,រថយន្តដឹកទំនិញ,
115.a,Loc_car_Num,"# of local made cars, combination of used vehicle spare parts",រថយន្តដែលកែឆ្នៃក្នុងស្រុក,"# of local made cars, combination of used vehicle spare parts",Sets,គ្រឿង,Truck and Car,រថយន្តដឹកទំនិញ,
116,H_Truck_small,# of small trucks (net weight less than 1.5 tons),រថយន្តដឹកទំនិញធុនតូច (១.៥តោនចុះ),# families with small trucks (net weight less than 1.5 tons) ,Families,គ្រូសារ,Truck and Car,រថយន្តដឹកទំនិញ,
116.a,Truck_small,# of small trucks (net weight less than 1.5 tons),រថយន្តដឹកទំនិញធុនតូច (១.៥តោនចុះ),# of small trucks (net weight less than 1.5 tons) ,Sets,គ្រឿង,Truck and Car,រថយន្តដឹកទំនិញ,
117,H_Truck_heavy,# of heavy trucks (net weight over 1.5 tons),រថយន្តដឹកទំនិញធុនធំ (ចំណុះលើសពី១.៥តោនចុះ),# families with heavy trucks (net weight over 1.5 tons) ,Families,គ្រូសារ,Truck and Car,រថយន្តដឹកទំនិញ,
117.a,Truck_heavy,# of heavy trucks (net weight over 1.5 tons),រថយន្តដឹកទំនិញធុនធំ (ចំណុះលើសពី១.៥តោនចុះ),# of heavy trucks (net weight over 1.5 tons) ,Sets,គ្រឿង,Truck and Car,រថយន្តដឹកទំនិញ,
118,H_Bus_mini,# of mini buses( less than or egual to 12 seats),រថយន្តដឹកអ្នកដំណើរធុនតូច(១២កៅអីចុះ),# families with mini buses( less than or equal to 12 seats),Families,គ្រូសារ,Truck and Car,រថយន្តដឹកទំនិញ,
118.a,Bus_mini,# of mini buses( less than or egual to 12 seats),រថយន្តដឹកអ្នកដំណើរធុនតូច(១២កៅអីចុះ),# of mini buses( less than or equal to 12 seats),Sets,គ្រឿង,Truck and Car,រថយន្តដឹកទំនិញ,
119,H_Bus_Num,# of buses (over 12 seats),រថយន្តដឹកអ្នកដំណើរធុនធំ(លើស១២កៅអី),# families with buses (over 12 seats),Families,គ្រូសារ,Truck and Car,រថយន្តដឹកទំនិញ,
119.a,Bus_Num,# of buses (over 12 seats),រថយន្តដឹកអ្នកដំណើរធុនធំ(លើស១២កៅអី),# of buses (over 12 seats),Sets,គ្រឿង,Truck and Car,រថយន្តដឹកទំនិញ,
120,H_Family_Car,# of family cars,រថយន្តសម្រាប់ប្រើប្រាស់ក្នុងគ្រួសារ,# families with family cars ,Families,គ្រូសារ,Truck and Car,រថយន្តដឹកទំនិញ,
120.a,Family_Car,# of family cars,រថយន្តសម្រាប់ប្រើប្រាស់ក្នុងគ្រួសារ,# of family cars ,Sets,គ្រឿង,Truck and Car,រថយន្តដឹកទំនិញ,
121,H_Oth_machin,# of other machines,គ្រឿងយន្ត គ្រឿងចក្រផ្សេងៗ(សម្រាប់សំណង់),# families with other machines,Families,គ្រូសារ,Truck and Car,រថយន្តដឹកទំនិញ,
121.a,Oth_machin,# of other machines,គ្រឿងយន្ត គ្រឿងចក្រផ្សេងៗ(សម្រាប់សំណង់),# of other machines,Sets,គ្រឿង,Truck and Car,រថយន្តដឹកទំនិញ,
122,H_MOTO_NUM,# of motorbike,ចំនួនម៉ូតូ,# families with motorcycles,Families,គ្រូសារ,Motorbike and Bicycle,ម៉ូតូនិងកង់,
122.a,MOTO_NUM,# of motorbike,ចំនួនម៉ូតូ,# Motorcycles,Sets,គ្រឿង,Motorbike and Bicycle,ម៉ូតូនិងកង់,
123,H_Mot_Tricyc_NUM,"# of motor tri-cycle (3 wheel motor bicycle, Lambreuta)",ម៉ូតូកង់បី(ត្រីចក្រយាន្តយន្ត ឡាំប្រឺតា,"# families with motor tri-cycle (3 wheel motor bicycle, Lambreuta) ",Families,គ្រូសារ,Motorbike and Bicycle,ម៉ូតូនិងកង់,
123.a,Mot_Tricyc_NUM,"# of motor tri-cycle (3 wheel motor bicycle, Lambreuta)",ម៉ូតូកង់បី(ត្រីចក្រយាន្តយន្ត ឡាំប្រឺតា,"# of motor tri-cycle (3 wheel motor bicycle, Lambreuta) ",Sets,គ្រឿង,Motorbike and Bicycle,ម៉ូតូនិងកង់,
124,H_BICY,# of bicycle (usable bike),កង់ដែលអាចប្រើប្រាស់បាន,# families with bicycles,Families,គ្រូសារ,Motorbike and Bicycle,ម៉ូតូនិងកង់,
124.a,BICY_NUM,# of bicycle (usable bike),កង់ដែលអាចប្រើប្រាស់បាន,# Bicycles,Sets,គ្រឿង,Motorbike and Bicycle,ម៉ូតូនិងកង់,
125,H_Fish_ro_boat,# of row boots used for fishing,ទូកចែវ-ទូកអុំ សំរាប់នេសាទ,# families with row boats used for fishing,Families,គ្រូសារ,boat,ទូក,
125.a,Fish_ro_boat,# of row boots used for fishing,ទូកចែវ-ទូកអុំ សំរាប់នេសាទ,# of row boats used for fishing,Sets,គ្រឿង,boat,ទូក,
126,H_Trav_ro_boat,# of row boats used for traveling/tourism,ទូកចែវ-ទូកអុំ សំរាប់ធ្វើដំណើរ/ទេសចរណ៍,# families with row boats used for traveling/tourism ,Families,គ្រូសារ,boat,ទូក,
126.a,Trav_ro_boat,# of row boats used for traveling/tourism,ទូកចែវ-ទូកអុំ សំរាប់ធ្វើដំណើរ/ទេសចរណ៍,# of row boats used for traveling/tourism ,Sets,គ្រឿង,boat,ទូក,
127,H_Fish_Mo_boat,# of motor boats used for fishing,ទូកម៉ាស៊ីន-កាណូត សំរាប់នេសាទ,# families with motor boats used for fishing,Families,គ្រូសារ,boat,ទូក,
127.a,Fish_Mo_boat,# of motor boats used for fishing,ទូកម៉ាស៊ីន-កាណូត សំរាប់នេសាទ,# of motor boats used for fishing,Sets,គ្រឿង,boat,ទូក,
128,H_Trav_Mo_boat,# of motor boats used for tourism/transport passengers,ទូកម៉ាស៊ីន-កាណូតសំរាប់ទេសចរណ៍ដឹកអ្នកដំណើរ ,# families with motor boats used for tourism/transport passengers,Families,គ្រូសារ,boat,ទូក,
128.a,Trav_Mo_boat,# of motor boats used for tourism/transport passengers,ទូកម៉ាស៊ីន-កាណូតសំរាប់ទេសចរណ៍ដឹកអ្នកដំណើរ ,# of motor boats used for tourism/transport passengers,Sets,គ្រឿង,boat,ទូក,
129,H_M_boat_les1T,# of motor boats used tor goods transporting net weight up to one ton,ទូកម៉ាស៊ីន-កាណូត ដឹកទំនិញចំណុះ១តោន ,# families with motor boats used for goods transporting net weight up to one ton ,Families,គ្រូសារ,boat,ទូក,
129.a,M_boat_les1T,# of motor boats used tor goods transporting net weight up to one ton,ទូកម៉ាស៊ីន-កាណូត ដឹកទំនិញចំណុះ១តោន,# of motor boats used for goods transporting net weight up to one ton ,Sets,គ្រឿង,boat,ទូក,
130,H_M_boat_ov1T,# of motor boats used for goods transporting net weight over one ton,ទូកម៉ាស៊ីន-កាណូតដឹកទំនិញចំណុះលើសពី១តោន,# families with motor boats used for goods transporting net weight over one ton,Families,គ្រូសារ,boat,ទូក,
130.a,M_boat_ov1T,# of motor boats used for goods transporting net weight over one ton,ទូកម៉ាស៊ីន-កាណូតដឹកទំនិញចំណុះលើសពី១តោន,# of motor boats used for goods transporting net weight over one ton,Sets,គ្រឿង,boat,ទូក,
131,KM_Comm,Average distance from the village center to Commune/Sangkat office,ចំងាយជាមធ្យមពីចំណុចកណ្តាលភូមិទៅសាលាឃុំ/សង្កាត់,Average distance from the village centre to Commune/Sangkat office ,KM,គ.ម,boat,ទូក,
132,KM_Distr,Average distance from village center to District/Khari office,ចំងាយជាមធ្យមពីចំណុចកណ្តាលភូមិទៅសាលាក្រុង/ស្រុក/ខណ្ឌ,Average distance from village centre to District/Khan office ,KM,គ.ម,boat,ទូក,
133,KM_Prov,Average distance from village center to Provincial/Municipal office,ចំងាយជាមធ្យមពីចំណុចកណ្តាលភូមិទៅសាលាខេត្ត/រាជធានី,Average distance from village centre to Provincial/Municipal office,KM,គ.ម,boat,ទូក,
134,Fami_R_Cows,Cow/Ox,គោ,# families raising cows (male and female),Families,គ្រូសារ,boat,ទូក,
134.a,T_Cows,Cow/Ox,គោ,# total cows (male and female),Heads,ក្បាល,boat,ទូក,
135,Fami_R_Buffalos,Buffalo,ក្របី,# of families raising buffalos,Families,គ្រូសារ,boat,ទូក,
135.a,T_Buffalos,Buffalo,ក្របី,# total of buffalos,Heads,ក្បាល,boat,ទូក,
136,PIG_FAMI,Pig,ជ្រូក,# families with pigs in the village,Families,គ្រូសារ,boat,ទូក,
136.a,T_Pigs_Raised,Pig,ជ្រូក,# total of pigs raised for selling,Heads,ក្បាល,boat,ទូក,
137,Chick_fami,Chicken,មាន់,Total number of families with chicken,Families,គ្រូសារ,boat,ទូក,
137.a,Chick_Over_0.8kg,Chicken,មាន់,# total of chicken (>0.8 kg) raised for selling,Heads,ក្បាល,boat,ទូក,
138,Duck_fami,Duck,ទា,Total number of families with duck,Families,គ្រូសារ,boat,ទូក,
138.a,Duck_Over_1kg,Duck,ទា,# total of ducks (>1 kg) raised for selling,Heads,ក្បាល,boat,ទូក,
139,Goat_fami,Goat,ពពែ,Total number of families with goat/sheep,Families,គ្រូសារ,boat,ទូក,
139.a,T_Goats/Sheep_Raised,Goat,ពពែ,# total of goats/sheep raised for selling,Heads,ក្បាល,boat,ទូក,
140,Croco_fami,Crocodile,ក្រពើ,# of families raising crocodiles,Families,គ្រូសារ,boat,ទូក,
140.a,T_Croco_Raised,Crocodile,ក្រពើ,# total of crocodiles raised for selling,Heads,ក្បាល,boat,ទូក,
141,Fami_R_Fish,Fishes,ត្រី,# of families raising fish,Families,គ្រូសារ,boat,ទូក,
141.a,T_Fish_Har,Fishes,ត្រី,# total amount of fishes harvested,Heads,ក្បាល,boat,ទូក,
142,Fami_R_Lobsters,Lobsters,បង្កង,# of families raising lobsters,Families,គ្រូសារ,boat,ទូក,
142.a,T_Lobsters_Har,Lobsters,បង្កង,# total amount of lobsters harvested,Heads,ក្បាល,boat,ទូក,
143,Fami_R_Shrimps,Shrimps,បង្គារ,# families raising shrimps,Families,គ្រូសារ,boat,ទូក,
143.a,T_Shrimsp_Har,Shrimps,បង្គារ,# total amount of shrimps harvested,Heads,ក្បាល,boat,ទូក,
144,H_THATCH,House with thatched roof,លំនៅដ្ឋាន បក់ ស្លឹក ស្បូវ,# family living in thatched roof,Families,គ្រូសារ,home,លំនៅស្ថាន,
144.a,THATCH_R,House with thatched roof,លំនៅដ្ឋាន បក់ ស្លឹក ស្បូវ,# Houses with thatched roof,Houses,ផ្ទះ,home,លំនៅស្ថាន,
144.b,THAT_R_Elec,House with thatched roof,លំនៅដ្ឋាន បក់ ស្លឹក ស្បូវ,# thatched roof house with electricity,Houses,ផ្ទះ,home,លំនៅស្ថាន,
144.c,THAT_R_Batt,House with thatched roof,លំនៅដ្ឋាន បក់ ស្លឹក ស្បូវ,# thatched roof house with battery light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
144.d,H_Leaf_That_Solar,House with thatched roof,លំនៅដ្ឋាន បក់ ស្លឹក ស្បូវ,"# Houses with leaf, thatched roof with SOLAR light",Houses,ផ្ទះ,home,លំនៅស្ថាន,
144.e,H_Leaf_That_Bio,House with thatched roof,លំនៅដ្ឋាន បក់ ស្លឹក ស្បូវ,"# Houses with leaf, thatched roof with BIO-GAS as source of light",Houses,ផ្ទះ,home,លំនៅស្ថាន,
144.f,THAT_R_TV,House with thatched roof,លំនៅដ្ឋាន បក់ ស្លឹក ស្បូវ,# thatched roof house with TV,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145,H_FIBRO,House with zinc or fibro roof,ផ្ទះប្រក់សង្កសី ហ្វីប្រូស៊ីម៉ងត៍,# family living in fibro-cement roof,Families,គ្រូសារ,home,លំនៅស្ថាន,
145.a,Zin_Fibr_R,House with zinc or fibro roof,ផ្ទះប្រក់សង្កសី ហ្វីប្រូស៊ីម៉ងត៍,# House with zinc or fibro roof,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.b,Z_Fib_R_Elec,House with zinc or fibro roof,ផ្ទះប្រក់សង្កសី ហ្វីប្រូស៊ីម៉ងត៍,# zinc or fibro roof house with electricity,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.c,Z_Fib_R_Batt,House with zinc or fibro roof,ផ្ទះប្រក់សង្កសី ហ្វីប្រូស៊ីម៉ងត៍,# zinc or fibro roof house with battery light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.d,T_Leaf_That_Solar,House with zinc or fibro roof,ផ្ទះប្រក់សង្កសី ហ្វីប្រូស៊ីម៉ងត៍,# total houses with zinc or fibro with SOLAR light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.e,T_Leaf_That_Bio,House with zinc or fibro roof,ផ្ទះប្រក់សង្កសី ហ្វីប្រូស៊ីម៉ងត៍,# total houses with zinc or fibro with BIO-GAS as source of light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.f,Z_Fib_R_TV,House with zinc or fibro roof,ផ្ទះប្រក់សង្កសី ហ្វីប្រូស៊ីម៉ងត៍,# zinc or fibro roof house with TV,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.1,Fami_Zin_Fi_L20,House with zinc less than 20 sheets,ក្នុងនោះប្រក់តិច ជាង២០សន្លឹក,# families living with zinc or fibro roof less than <20 sheets (4*5 metres),Families,គ្រូសារ,home,លំនៅស្ថាន,
145.1.a,H_Zin_Fi_L20,House with zinc less than 20 sheets,ក្នុងនោះប្រក់តិច ជាង២០សន្លឹក,# houses with zinc or fibro roof less than <20 sheets (4*5 metres),Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.1.b,H_L20_Elec_Con,House with zinc less than 20 sheets,ក្នុងនោះប្រក់តិច ជាង២០សន្លឹក,# houses with zinc or fibro roof less than <20 sheets with electricity connection,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.1.c,H_L20_Batter,House with zinc less than 20 sheets,ក្នុងនោះប្រក់តិច ជាង២០សន្លឹក,# houses with zinc or fibro roof less than <20 sheets with battery light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.1.d,H_L20_Solar,House with zinc less than 20 sheets,ក្នុងនោះប្រក់តិច ជាង២០សន្លឹក,# houses with zinc or fibro roof less than <20 sheets with SOLAR light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.1.e,H_L20_Bio,House with zinc less than 20 sheets,ក្នុងនោះប្រក់តិច ជាង២០សន្លឹក,# houses with zinc or fibro roof less than <20 sheets with BIO-GAS as source of light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
145.1.f,H_Zin_Fi_L20_TV,House with zinc less than 20 sheets,ក្នុងនោះប្រក់តិច ជាង២០សន្លឹក,# House with zinc or fibro roof less than  <20 sheets (4*5 metres) with TV,Houses,ផ្ទះ,home,លំនៅស្ថាន,
146,H_TILE,House with tiled roof,ផ្ទះប្រក់ក្បឿង,# family living in tiled roof,Families,គ្រូសារ,home,លំនៅស្ថាន,
146.a,TILE_R,House with tiled roof,ផ្ទះប្រក់ក្បឿង,# Houses with tiled roof,Houses,ផ្ទះ,home,លំនៅស្ថាន,
146.b,Til_R_Elec,House with tiled roof,ផ្ទះប្រក់ក្បឿង,# tiled roof house with electricity,Houses,ផ្ទះ,home,លំនៅស្ថាន,
146.c,Til_R_Batt,House with tiled roof,ផ្ទះប្រក់ក្បឿង,# tiled roof house with battery light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
146.d,H_Tiled_Solar,House with tiled roof,ផ្ទះប្រក់ក្បឿង,# tiled roof house with SOLAR light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
146.e,H_Tiled_Bio,House with tiled roof,ផ្ទះប្រក់ក្បឿង,# tiled roof house with BIO-GAS as source of light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
146.f,Til_R_TV,House with tiled roof,ផ្ទះប្រក់ក្បឿង,# tiled roof house with TV,Houses,ផ្ទះ,home,លំនៅស្ថាន,
147,Fami_Concr_Roof,House with cement well but not concrete,ផ្ទះថ្មមិនមែនបេតុង,# families living in house with cement wall without concrete roof,Families,គ្រូសារ,home,លំនៅស្ថាន,
147.a,H_Concr_Roof,House with cement well but not concrete,ផ្ទះថ្មមិនមែនបេតុង,# houses with cement wall without concrete roof,Houses,ផ្ទះ,home,លំនៅស្ថាន,
147.b,H_Con_Roof_Elec,House with cement well but not concrete,ផ្ទះថ្មមិនមែនបេតុង,# houses with cement wall without concrete roof with electricity connection,Houses,ផ្ទះ,home,លំនៅស្ថាន,
147.c,H_Con_Roof_Batter,House with cement well but not concrete,ផ្ទះថ្មមិនមែនបេតុង,# houses with cement wall without concrete roof with battery light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
147.d,H_Con_Roof_Solar,House with cement well but not concrete,ផ្ទះថ្មមិនមែនបេតុង,# houses with cement wall without concrete roof with SOLAR light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
147.e,H_Con_Roof_Bio,House with cement well but not concrete,ផ្ទះថ្មមិនមែនបេតុង,# houses with cement wall without concrete roof with BIO-GAS as source of light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
147.f,H_Con_Roof_TV,House with cement well but not concrete,ផ្ទះថ្មមិនមែនបេតុង,# houses with cement wall without concrete roof with TV,Houses,ផ្ទះ,home,លំនៅស្ថាន,
148,Fami_Flats,Flats/apartments,ផ្ទះថ្មល្វែង,# families living in flats/apartments,Families,គ្រូសារ,home,លំនៅស្ថាន,
148.a,Num_Flats,Flats/apartments,ផ្ទះថ្មល្វែង,# flats/apartments,Houses,ផ្ទះ,home,លំនៅស្ថាន,
148.b,Flats_Elec_Con,Flats/apartments,ផ្ទះថ្មល្វែង,# flats/apartments with electrictiy connection,Houses,ផ្ទះ,home,លំនៅស្ថាន,
148.c,Flats_Batter_Light,Flats/apartments,ផ្ទះថ្មល្វែង,# flats/apartments with battery light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
148.d,Flats_Solar,Flats/apartments,ផ្ទះថ្មល្វែង,# flats/apartments with SOLAR light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
148.e,Flats_Bio,Flats/apartments,ផ្ទះថ្មល្វែង,# flats/apartments with BIO_GAS as source of light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
148.f,Flats_TV,Flats/apartments,ផ្ទះថ្មល្វែង,# flats/apartments with TV,Houses,ផ្ទះ,home,លំនៅស្ថាន,
149,H_Villa_R,Villa house,ផ្ទះភូមិគ្រឹះ(វិឡា),# family living in Villa house,Families,គ្រូសារ,home,លំនៅស្ថាន,
149.a,Villa_R,Villa house,ផ្ទះភូមិគ្រឹះ(វិឡា),# Villa house,Houses,ផ្ទះ,home,លំនៅស្ថាន,
149.b,Villa_R_Elec,Villa house,ផ្ទះភូមិគ្រឹះ(វិឡា),# Villa house with electricity,Houses,ផ្ទះ,home,លំនៅស្ថាន,
149.c,Villa_R_Batt,Villa house,ផ្ទះភូមិគ្រឹះ(វិឡា),# Villa house with battery light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
149.d,H_Villa_Solar,Villa house,ផ្ទះភូមិគ្រឹះ(វិឡា),# Villa house with SOLAR light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
149.e,H_Villa_Bio,Villa house,ផ្ទះភូមិគ្រឹះ(វិឡា),# Villa house with BIO_GAS as source of light,Houses,ផ្ទះ,home,លំនៅស្ថាន,
149.f,Villa_R_TV,Villa house,ផ្ទះភូមិគ្រឹះ(វិឡា),# Villa house with TV,Houses,ផ្ទះ,home,លំនៅស្ថាន,
150,H_Zin_Unoccu,House with zinc,ផ្ទះប្រក់សង្កសី,# of  unoccupied houses with zinc roof,Houses,ផ្ទះ,home no people live,លំនៅស្ថានមិនទាន់មានគ្រួសារស្នាក់,
150.a,H_fi_ceme_Unoccu,House with fibro,ផ្ទះប្រក់ហ្វីប្រូ ស៊ីម៉ងត៍,# of  unoccupied houses with fibro/cement roof?,Houses,ផ្ទះ,home no people live,លំនៅស្ថានមិនទាន់មានគ្រួសារស្នាក់,
150.b,H_Tile_Unoccu,House with tiled,ផ្ទះប្រក់ក្បឿង,# of  unoccupied houses with tiled roof,Houses,ផ្ទះ,home no people live,លំនៅស្ថានមិនទាន់មានគ្រួសារស្នាក់,
150.c,Flats_Unoccu,Flats/apartments,ផ្ទះថ្មល្វែង,# of  unoccupied flats,Houses,ផ្ទះ,home no people live,លំនៅស្ថានមិនទាន់មានគ្រួសារស្នាក់,
150.d,Villa_Unoccu,Villa house,ផ្ទះភូមិគ្រឹះ,# of  unoccupied villas,Houses,ផ្ទះ,home no people live,លំនៅស្ថានមិនទាន់មានគ្រួសារស្នាក់,
151,Nam_Health-Frequ,Name of health center people frequently go,ឈោ្មះមណ្ឌលសុខភាពដែលប្រជាជនភាគច្រើនទៅរកសេវា,Name of Health Centre people frequently go,,,health,សុខភាព,
152,KM_Heal_cent,Distance from center of the village to health center,ចំងាយមធ្យមពីចំនុចកណ្តាលភូមិទៅមណ្ឌលសុខភាព,Average distance from the village centre to health center,KM,គ.ម,health,សុខភាព,
153,MWIFE_NUM,# of midwife living in the village,ចំនួនពេទ្យឆ្មបដែលរស់នៅក្នុងភូមិ,# government trained midwives in the village,People,នាក់,health,សុខភាព,
154,TBA_USE,# of women who delivered a baby by TBA,ចំនួនស្ត្រីដែលបានឆ្លងទន្ល (សំរាលកូន ) ដោយឆ្មបបុរាណ,# families who used a traditional birth attendant in the past year,People,នាក់,health,សុខភាព,
154.a,MWIFE_USE,# of women who delivered a baby by midwife,ចំនួនស្ត្រីដែលបានឆ្លងទន្លេ (សំរាលកូន ) ដោយពេទ្យឆ្មបឬពេទ្យមានជំនាញ,# families who used a trained midwife in the past year,People,នាក់,health,សុខភាព,
154.b,Sur_baby_TBA,# of women who delivered a baby by TBA,ចំនួនស្ត្រីដែលបានឆ្លងទន្ល (សំរាលកូន ) ដោយឆ្មបបុរាណ,# of new survival born infants by TBA,People,នាក់,health,សុខភាព,
154.c,Sur_baby_Midw,# of women who delivered a baby by midwife,ចំនួនស្ត្រីដែលបានឆ្លងទន្លេ (សំរាលកូន ) ដោយពេទ្យឆ្មបឬពេទ្យមានជំនាញ,# of new survival born infants by midwife,People,នាក់,health,សុខភាព,
155,Moth_die_TBA,# of women who delivered a baby by TBA,ចំនួនស្ត្រីដែលបានឆ្លងទន្ល (សំរាលកូន ) ដោយឆ្មបបុរាណ,# of mothers who died after delivery (0 -1 month) with TBA service,People,នាក់,health,សុខភាព,
155.a,Moth_die_Midw,# of women who delivered a baby by midwife,ចំនួនស្ត្រីដែលបានឆ្លងទន្លេ (សំរាលកូន ) ដោយពេទ្យឆ្មបឬពេទ្យមានជំនាញ,# of mothers who died after delivery (0 -1 month) with midwife service,People,នាក់,health,សុខភាព,
155.b,Baby_die_TBA,# of women who delivered a baby by TBA,ចំនួនស្ត្រីដែលបានឆ្លងទន្ល (សំរាលកូន ) ដោយឆ្មបបុរាណ,# of infants who died (0 day -1month) by TBA,People,នាក់,health,សុខភាព,
155.c,Baby_die_Midw,# of women who delivered a baby by midwife,ចំនួនស្ត្រីដែលបានឆ្លងទន្លេ (សំរាលកូន ) ដោយពេទ្យឆ្មបឬពេទ្យមានជំនាញ,# of infants who died (0 day -1month) by midwife,People,នាក់,health,សុខភាព,
156,Baby_reg,# of registered infants,ចំនួនទារកដែលបានចុះសំបុត្រកំណើត,# of registered infants ,People,នាក់,health,សុខភាព,
157,TOT_UD1_baby,# of children aged from 9 months -12 months,ចំនួនកុមារដែលមានអាយុ ចន្លោះពី៩ខែ-១២ខែ,# of children aged from 9 months - 12 months ,People,នាក់,health,សុខភាព,
157.1,TOT_Immunize,who have received full immunization 6 or 7 immunizations),បានចាក់ថ្នាំបង្ការគ្រប់ចំនួន,# of children aged from 9 months - 12 months who have received full immunization( 6 or 7 immunizations),People,នាក់,health,សុខភាព,
158,Wat_pur,# of families usually uses water from punfied system equipment,ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកម៉ាស៊ីន(ទឹករ៉ូបី ណេ បានឆ្លងកាត់ប្រព័ន្ធធ្វើទឹកឱ្យស្អាតដែល ភ្ជាប់ទៅ តាមផ្ទះឬទៅតាមកន្លែងសាធារណៈ),# of families usually uses water from purified system equipment,Families,គ្រូសារ,health,សុខភាព,
159,Wat_well,"# of families usually uses water from pump, mixed wells (drilled wells)",ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកពីប្រភពទឹក អណ្ដូងស្នប់ អណ្ដូងចំរុះ(អណ្តូងខួង),"# of families usually uses water from pump, mixed wells ",Families,គ្រូសារ,health,សុខភាព,
159.a,Fami_Wat_Mix_Well,"# of families usually uses water from pump, mixed wells (drilled wells)",ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកពីប្រភពទឹក អណ្ដូងស្នប់ អណ្ដូងចំរុះ(អណ្តូងខួង),"# of pump, mixed wells were used",Wells,អណ្តូង,health,សុខភាព,
160,Fami_Wat_P_D_Well,# of families usually uses water from protected dug wells,ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកពីប្រភព អណ្តូងជីកដែលមានការការពារ,# of families usually using water from protected dug wells,Families,គ្រូសារ,health,សុខភាព,
160.a,Num_Pro_D_Well,# of families usually uses water from protected dug wells,ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកពីប្រភព អណ្តូងជីកដែលមានការការពារ,# of protected dug wells,Wells,អណ្តូង,health,សុខភាព,
161,Fami_Wat_Un_D_Well,# of families usually uses water from unprotected dug wells,ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកពីប្រភព អណ្ដូងជីកដែលមិនមានការការពារ,# of families usually using water from unprotected dug wells,Families,គ្រូសារ,health,សុខភាព,
161.a,Num_Unpro_D_Well,# of families usually uses water from unprotected dug wells,ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកពីប្រភព អណ្ដូងជីកដែលមិនមានការការពារ,# of unprotected dug wells,Ponds,ស្រះ,health,សុខភាព,
162,Wat_pond,# of families usually uses water from ponds,ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកស្រះ,# of families usually uses water from pond ,Families,គ្រូសារ,health,សុខភាព,
162.a,Num_YR_Ponds,# of families usually uses water from ponds,ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកស្រះ,# of usable year-round water ponds,Families,គ្រូសារ,health,សុខភាព,
163,Fami_R_Storage_Pro,# of families usually uses rain water storage with protected,ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកភ្លៀងដែល ការការពារ,# of families usually uses water from rain water storage PROTECTED,Families,គ្រូសារ,health,សុខភាព,
164,Wat_river,"# of families usually use water from other sources (rivers, lakes, ponds.canals.waterfalls)",ចំនួនគ្រួសារដែលប្រើប្រាស់ទឹកពីប្រភពផ្សេងៗ (ទន្លេ ស្ទឹង បឹង ត្រពាំង ទឹកអូរ ទឹកជ្រោះ),"# of families uses water from rivers, lakes, natural ponds and reservoirs",Families,គ្រូសារ,health,សុខភាព,
